Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-11 00:00:00-04:00,429.65895730315737,433.30796510787286,427.0224760663214,429.1526794433594,766600,0.0,0.0
2023-09-12 00:00:00-04:00,426.0385550854979,428.1209786946611,416.08490606145426,425.369873046875,1217100,0.0,0.0
2023-09-13 00:00:00-04:00,426.03857131544606,427.0033765117724,420.7847324315112,423.3543395996094,1372000,0.0,0.0
2023-09-14 00:00:00-04:00,426.6308138147803,427.62427513927366,420.1065140487003,424.4719543457031,878600,0.0,0.0
2023-09-15 00:00:00-04:00,422.98176401730495,428.48397530589267,421.1094951239386,422.14117431640625,1581600,0.0,0.0
2023-09-18 00:00:00-04:00,425.44631596714527,425.44631596714527,419.8390417968339,422.9053649902344,786600,0.0,0.0
2023-09-19 00:00:00-04:00,421.26236527714707,423.08688378142875,414.31775582717364,419.1417236328125,1235100,0.0,0.0
2023-09-20 00:00:00-04:00,421.6922179899951,427.47142900071515,415.3016371997242,425.87615966796875,1085700,0.0,0.0
2023-09-21 00:00:00-04:00,426.69771194122495,435.5050579831489,424.7107891800615,430.65240478515625,1340400,0.0,0.0
2023-09-22 00:00:00-04:00,428.1687546447608,431.35926406505996,426.1913938335872,427.0893249511719,820700,0.0,0.0
2023-09-25 00:00:00-04:00,427.80579063329685,433.9766552403306,427.2039825874751,433.71875,706200,0.0,0.0
2023-09-26 00:00:00-04:00,430.85303464398396,432.7253037338613,423.5645221044566,428.1019287109375,886000,0.0,0.0
2023-09-27 00:00:00-04:00,428.01594901562237,428.84700617105597,424.0039147770332,424.8540954589844,1001500,0.0,0.0
2023-09-28 00:00:00-04:00,427.3759465800284,431.1969206739969,425.4368033934082,427.2613220214844,1045300,0.0,0.0
2023-09-29 00:00:00-04:00,425.6182826349736,425.91440578164895,415.6551001345572,415.93212890625,1374400,0.0,0.0
2023-10-02 00:00:00-04:00,416.50526915521283,421.0331432638277,412.07295438067416,420.4886474609375,1174800,0.0,0.0
2023-10-03 00:00:00-04:00,418.82644831202043,419.60019307462073,412.2352460354803,414.1075439453125,887400,0.0,0.0
2023-10-04 00:00:00-04:00,414.09800176938535,418.5685337540137,413.6108183211081,418.3488464355469,747600,0.0,0.0
2023-10-05 00:00:00-04:00,417.0401433081266,425.0546492840263,415.8269947063782,424.0038757324219,1088300,0.0,0.0
2023-10-06 00:00:00-04:00,424.2427015252203,432.87811017394995,422.49461889955967,429.8213195800781,1112700,0.0,0.0
2023-10-09 00:00:00-04:00,428.3788948726967,433.1933004001058,426.12450539252035,432.73480224609375,712100,0.0,0.0
2023-10-10 00:00:00-04:00,435.20894485955836,438.7719844609727,432.83993048260345,434.7599792480469,898600,0.0,0.0
2023-10-11 00:00:00-04:00,431.49303782037697,433.6041469671094,429.0667402937602,433.2698059082031,922000,0.0,0.0
2023-10-12 00:00:00-04:00,433.81425049655155,435.9253302423667,429.9550590084998,433.2315368652344,852300,0.0,0.0
2023-10-13 00:00:00-04:00,438.06505377290944,445.7738747691418,430.4995426036213,433.7855529785156,1665100,0.0,0.0
2023-10-16 00:00:00-04:00,416.48609959989795,448.7637804813698,416.47653783787257,441.9146728515625,2759100,0.0,0.0
2023-10-17 00:00:00-04:00,442.37327388947705,450.60746825493595,440.672941613211,444.84735107421875,1453600,0.0,0.0
2023-10-18 00:00:00-04:00,459.44343989389057,460.90496119544684,442.5929315684497,448.3052978515625,2076700,0.0,0.0
2023-10-19 00:00:00-04:00,447.42650585597823,452.04988078305377,440.01380715135724,442.5451965332031,1238000,0.0,0.0
2023-10-20 00:00:00-04:00,442.9941768912569,443.35717408861797,433.2411488358195,433.47039794921875,1159600,0.0,0.0
2023-10-23 00:00:00-04:00,432.8207829940583,434.39692874685403,424.3668732177898,431.55029296875,1644200,0.0,0.0
2023-10-24 00:00:00-04:00,431.8082459410699,440.53915568549667,431.7700280415946,432.3336181640625,1180300,0.0,0.0
