period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,49121932460,48371000000,50189500000,11,50087000000,-0.019299999,USD
+1q,48121109030,46554000000,49747000000,11,49311000000,-0.0241,USD
0y,196237836900,192660507650,199058900000,12,197584000000,-0.0068,USD
+1y,200388921110,193083000000,209253000000,12,196237836900,0.0212,USD
