period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,4.66488,4.66488,4.67141,5.09701,5.09701,USD
+1q,2.46811,2.46834,2.48509,2.99769,2.99769,USD
0y,27.16015,27.15838,27.16672,26.90551,26.90551,USD
+1y,29.60546,29.63423,29.63185,29.2475,29.2475,USD
