period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,4.66488,4.55,4.99,6.03,19,-0.22639999,USD
+1q,2.46811,1.91,3.31,3.33,20,-0.2588,USD
0y,27.16015,26.99619,28.25,30.29,21,-0.1033,USD
+1y,29.60546,29.0,31.0,27.16015,22,0.09,USD
