period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,46.20664,46.11973,43.8017,41.93733,40.35483,USD
+1q,52.77736,52.26864,52.46227,49.27102,45.76539,USD
0y,214.09818,213.2349,212.60059,188.87671,175.37572,USD
+1y,264.72162,265.12222,248.42166,198.29776,182.88686,USD
