period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,46.20664,44.05,49.8,1.22,17,36.8743,USD
+1q,52.77736,48.4,59.94,6.2,17,7.5125,USD
0y,214.09818,186.97,238.36,70.88,20,2.0206,USD
+1y,264.72162,173.37,361.2,214.09818,19,0.2364,USD
