contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SNDK270319C00520000,2026-08-25 13:57:14+00:00,520.0,1019.53,1255.3,1267.9,0.0,0.0,4.0,4,1.0704544768524173,True,REGULAR,USD
SNDK270319C00530000,2026-08-07 14:06:45+00:00,530.0,750.0,1245.9,1260.4,0.0,0.0,1.0,1,1.0748642448425296,True,REGULAR,USD
SNDK270319C00540000,2026-08-14 17:00:33+00:00,540.0,1119.63,1236.4,1249.0,0.0,0.0,2.0,9,1.053563081817627,True,REGULAR,USD
SNDK270319C00550000,2026-08-18 19:12:10+00:00,550.0,1091.3,1227.0,1239.6,0.0,0.0,6.0,2,1.0457811383056643,True,REGULAR,USD
SNDK270319C00560000,2026-08-05 16:21:54+00:00,560.0,934.62,1194.0,1208.3,0.0,0.0,2.0,2,0.7747214910888673,True,REGULAR,USD
SNDK270319C00580000,2026-08-05 16:18:57+00:00,580.0,912.85,1175.4,1189.8,0.0,0.0,,1,0.7907735766601562,True,REGULAR,USD
SNDK270319C00590000,2026-08-05 16:21:06+00:00,590.0,911.24,1166.1,1180.5,0.0,0.0,,1,0.7949544430541992,True,REGULAR,USD
SNDK270319C00600000,2026-08-26 17:23:47+00:00,600.0,935.67,1180.3,1192.9,0.0,0.0,5.0,12,1.009877387161255,True,REGULAR,USD
SNDK270319C00650000,2026-08-18 19:12:10+00:00,650.0,1006.18,1134.2,1146.8,0.0,0.0,2.0,3,0.9789735989379884,True,REGULAR,USD
SNDK270319C00660000,2026-08-13 15:10:28+00:00,660.0,872.0,1125.5,1137.6,0.0,0.0,,1,0.9750368707275392,True,REGULAR,USD
SNDK270319C00700000,2026-08-13 19:47:04+00:00,700.0,890.0,1089.4,1101.4,0.0,0.0,1.0,7,0.9548496946716307,True,REGULAR,USD
SNDK270319C00720000,2026-08-25 13:57:14+00:00,720.0,846.73,1071.4,1083.5,0.0,0.0,4.0,12,0.9451452018737792,True,REGULAR,USD
SNDK270319C00740000,2026-07-20 17:00:11+00:00,740.0,865.79,801.9,816.7,0.0,0.0,,10,1.0000000000000003e-05,True,REGULAR,USD
SNDK270319C00760000,2026-08-18 19:10:29+00:00,760.0,919.5,1035.4,1048.0,0.0,0.0,4.0,12,0.9256446644592287,True,REGULAR,USD
SNDK270319C00780000,2026-08-26 15:05:17+00:00,780.0,773.5,1018.1,1029.2,0.0,0.0,,6,0.9142159457397462,True,REGULAR,USD
SNDK270319C00800000,2026-08-31 14:12:18+00:00,800.0,780.1,1000.7,1013.0,0.0,0.0,1.0,9,0.9105233557128907,True,REGULAR,USD
SNDK270319C00820000,2026-08-13 15:26:58+00:00,820.0,838.0,983.6,994.7,0.0,0.0,1.0,3,0.900567095413208,True,REGULAR,USD
SNDK270319C00840000,2026-09-04 17:19:12+00:00,840.0,934.61,966.5,977.7,0.0,0.0,8.0,6,0.8940974335479736,True,REGULAR,USD
SNDK270319C00860000,2026-08-31 14:12:18+00:00,860.0,732.6,949.7,962.0,0.0,0.0,1.0,1,0.891480577392578,True,REGULAR,USD
SNDK270319C00880000,2026-07-24 14:32:46+00:00,880.0,795.52,697.4,710.0,0.0,0.0,1.0,30,1.0000000000000003e-05,True,REGULAR,USD
SNDK270319C00900000,2026-08-17 17:15:39+00:00,900.0,989.46,916.8,928.9,0.0,0.0,2.0,19,0.8813030668640136,True,REGULAR,USD
SNDK270319C00920000,2026-08-14 13:41:47+00:00,920.0,812.0,900.6,911.6,0.0,0.0,1.0,10,0.8741315077209473,True,REGULAR,USD
SNDK270319C00940000,2026-08-13 16:22:16+00:00,940.0,757.5,884.5,896.5,0.0,0.0,1.0,8,0.8718961174774168,True,REGULAR,USD
SNDK270319C00960000,2026-08-24 16:28:04+00:00,960.0,670.23,868.8,879.7,0.0,0.0,2.0,12,0.8659986544799804,True,REGULAR,USD
SNDK270319C00980000,2026-07-30 18:10:03+00:00,980.0,541.8,834.2,848.5,0.0,0.0,2.0,6,0.7852041743469238,True,REGULAR,USD
SNDK270319C01000000,2026-08-24 16:28:04+00:00,1000.0,644.03,837.5,849.6,0.0,0.0,2.0,23,0.8603071830749511,True,REGULAR,USD
SNDK270319C01020000,2026-09-04 13:37:45+00:00,1020.0,709.0,822.4,834.4,0.0,0.0,2.0,19,0.8572936023712158,True,REGULAR,USD
SNDK270319C01040000,2026-07-28 17:12:18+00:00,1040.0,418.2,789.6,804.0,0.0,0.0,3.0,8,0.7885839623260498,True,REGULAR,USD
SNDK270319C01060000,2026-08-14 13:56:02+00:00,1060.0,746.3,792.6,803.6,0.0,0.0,1.0,49,0.8494888098144531,True,REGULAR,USD
SNDK270319C01080000,2026-08-17 17:01:45+00:00,1080.0,876.38,778.0,789.0,0.0,0.0,1.0,51,0.8467956604766845,True,REGULAR,USD
SNDK270319C01100000,2026-09-08 17:25:46+00:00,1100.0,802.38,763.6,774.6,0.0,0.0,1.0,318,0.8442245802307129,True,REGULAR,USD
SNDK270319C01110000,2026-08-11 13:37:42+00:00,1110.0,450.64,755.6,767.6,0.0,0.0,1.0,13,0.8416916465759277,True,REGULAR,USD
