contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SNDK270115C00045000,2026-09-04 19:07:26+00:00,45.0,1657.46,1713.5,1726.1,0.0,0.0,2,67,2.4531288671875,True,REGULAR,USD
SNDK270115C00050000,2026-07-13 15:15:19+00:00,50.0,1711.54,1434.0,1453.8,0.0,0.0,1,20,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00055000,2026-04-10 13:30:00+00:00,55.0,819.0,1346.9,1363.6,0.0,0.0,1,9,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00060000,2026-04-27 13:44:18+00:00,60.0,974.1,1576.7,1593.0,0.0,0.0,1,52,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00065000,2026-08-17 13:37:32+00:00,65.0,1672.0,1693.9,1706.5,0.0,0.0,1,14,2.3090862585449217,True,REGULAR,USD
SNDK270115C00070000,2026-05-08 19:12:23+00:00,70.0,1474.0,1567.1,1583.4,0.0,0.0,9,13,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00075000,2026-07-16 13:57:03+00:00,75.0,1420.0,1410.0,1429.7,0.0,0.0,1,42,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00080000,2026-07-27 16:09:29+00:00,80.0,1208.65,1654.7,1669.1,0.0,0.0,1,6,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00085000,2026-07-28 19:53:51+00:00,85.0,1021.01,1649.8,1664.0,0.0,0.0,1,8,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00090000,2026-08-14 13:37:49+00:00,90.0,1490.0,1669.3,1681.9,0.0,0.0,1,20,2.1447800286865233,True,REGULAR,USD
SNDK270115C00095000,2026-08-06 18:16:13+00:00,95.0,1190.8,1664.4,1677.0,0.0,0.0,1,81,2.1206101672363276,True,REGULAR,USD
SNDK270115C00100000,2026-07-17 18:14:06+00:00,100.0,1339.94,1386.0,1404.9,0.0,0.0,1,40,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00105000,2026-08-06 18:16:13+00:00,105.0,1180.0,1654.6,1667.1,0.0,0.0,1,60,2.0664110839843746,True,REGULAR,USD
SNDK270115C00110000,2026-07-27 14:29:23+00:00,110.0,1173.13,1625.3,1639.6,0.0,0.0,2,6,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00115000,2026-07-29 18:00:01+00:00,115.0,950.0,1620.4,1634.7,0.0,0.0,1,66,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00120000,2026-08-17 13:37:32+00:00,120.0,1618.0,1639.8,1652.4,0.0,0.0,1,43,1.9970703271484376,True,REGULAR,USD
SNDK270115C00125000,2026-09-08 19:24:40+00:00,125.0,1650.0,1634.9,1647.5,0.0,0.0,5,107,1.9780274536132816,True,REGULAR,USD
SNDK270115C00130000,2026-07-20 14:05:01+00:00,130.0,1306.9,1356.0,1375.7,0.0,0.0,1,9,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00135000,2026-08-19 13:48:13+00:00,135.0,1504.0,1625.1,1637.7,0.0,0.0,1,3,1.9409182641601563,True,REGULAR,USD
SNDK270115C00140000,2026-06-29 13:36:31+00:00,140.0,1863.1,1346.0,1365.8,0.0,0.0,50,69,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00145000,2026-07-27 19:52:23+00:00,145.0,1125.84,1590.9,1605.2,0.0,0.0,1,8,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00150000,2026-09-04 14:36:27+00:00,150.0,1537.0,1610.4,1622.9,0.0,0.0,1,153,1.8837896435546875,True,REGULAR,USD
SNDK270115C00155000,2026-08-20 15:51:57+00:00,155.0,1450.0,1605.4,1618.0,0.0,0.0,1,103,1.8623053759765624,True,REGULAR,USD
SNDK270115C00160000,2026-08-05 14:02:42+00:00,160.0,1256.0,1576.2,1590.5,0.0,0.0,1,143,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00165000,2026-07-29 18:00:01+00:00,165.0,904.0,1571.3,1585.6,0.0,0.0,1,228,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00170000,2026-08-06 17:31:25+00:00,170.0,1129.69,1590.7,1603.3,0.0,0.0,1,8,1.816163028564453,True,REGULAR,USD
SNDK270115C00175000,2026-08-06 17:16:18+00:00,175.0,1109.1,1585.8,1598.4,0.0,0.0,1,4,1.8015146643066404,True,REGULAR,USD
SNDK270115C00180000,2026-07-22 13:38:30+00:00,180.0,1356.0,1308.0,1326.0,0.0,0.0,1,32,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00185000,2026-07-29 14:00:02+00:00,185.0,866.1,1551.7,1566.0,0.0,0.0,1,41,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00190000,2026-07-28 13:39:56+00:00,190.0,951.11,1546.8,1561.1,0.0,0.0,1,330,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00195000,2026-07-30 13:46:25+00:00,195.0,1016.0,1541.9,1556.2,0.0,0.0,1,55,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00200000,2026-08-05 13:36:28+00:00,200.0,1200.0,1536.9,1551.3,0.0,0.0,1,176,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00210000,2026-07-29 13:43:52+00:00,210.0,848.87,1527.1,1541.5,0.0,0.0,1,91,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00220000,2026-07-07 13:34:33+00:00,220.0,1401.57,1268.0,1287.8,0.0,0.0,1,97,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00230000,2026-04-30 19:14:11+00:00,230.0,886.3,1415.7,1431.8,0.0,0.0,1,30,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00240000,2026-05-27 15:06:55+00:00,240.0,1315.0,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00250000,2026-07-29 15:47:06+00:00,250.0,788.27,1487.9,1502.3,0.0,0.0,1,79,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00260000,2026-08-31 19:50:00+00:00,260.0,1246.8,1502.4,1515.0,0.0,0.0,1,33,1.5832540368652341,True,REGULAR,USD
SNDK270115C00270000,2026-08-24 13:48:57+00:00,270.0,1164.16,1492.6,1505.2,0.0,0.0,1,43,1.562013908691406,True,REGULAR,USD
SNDK270115C00280000,2026-08-06 18:16:13+00:00,280.0,1012.0,1482.8,1495.4,0.0,0.0,3,48,1.5414451638793945,True,REGULAR,USD
SNDK270115C00290000,2026-08-05 14:02:43+00:00,290.0,1132.0,1448.7,1463.1,0.0,0.0,1,23,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00300000,2026-09-04 14:27:55+00:00,300.0,1373.22,1463.2,1475.8,0.0,0.0,2,201,1.5018335455322265,True,REGULAR,USD
SNDK270115C00310000,2026-08-31 19:50:00+00:00,310.0,1197.8,1453.4,1466.0,0.0,0.0,1,29,1.4827906719970703,True,REGULAR,USD
SNDK270115C00320000,2026-07-27 15:00:27+00:00,320.0,988.09,1419.4,1433.7,0.0,0.0,1,29,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00330000,2026-08-05 19:27:18+00:00,330.0,1081.77,1409.6,1423.9,0.0,0.0,2,22,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00340000,2026-06-25 18:26:51+00:00,340.0,2000.0,1151.2,1168.2,0.0,0.0,1,49,1.0000000000000003e-05,True,REGULAR,USD
SNDK270115C00350000,2026-08-31 16:04:53+00:00,350.0,1164.0,1414.2,1426.8,0.0,0.0,1,130,1.4108916174316408,True,REGULAR,USD
SNDK270115C00360000,2026-08-31 19:50:00+00:00,360.0,1148.9,1404.5,1417.0,0.0,0.0,1,53,1.3956939395141603,True,REGULAR,USD
