period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,10688121470,10537000000,11217000000,17,2308000000,3.6309,USD
+1q,12230502410,11100000000,13622400000,16,3025000000,3.0430999,USD
0y,48960258320,43351000000,53154262000,19,20248000000,1.418,USD
+1y,57786626660,42626497530,83379100000,18,48960258320,0.18030001,USD
