period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,,,,,,,USD
+1q,,,,,,,USD
0y,1.67642,1.61,1.777,1.648,20.0,0.0172,USD
+1y,1.75919,1.45,1.951,1.67642,21.0,0.0494,USD
