Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-11 00:00:00+01:00,3200.796684331208,3213.286136041568,3159.3317046528105,3172.8203125,4674260,0.0,0.0
2023-09-12 00:00:00+01:00,3174.818707634421,3192.3039404852793,3157.833052865016,3159.331787109375,2461214,0.0,0.0
2023-09-13 00:00:00+01:00,3145.843083925744,3154.8354891203862,3109.373885080805,3145.343505859375,2932127,0.0,0.0
2023-09-14 00:00:00+01:00,3144.344315256628,3175.8177330928474,3110.373007115946,3165.826171875,6114674,0.0,0.0
2023-09-15 00:00:00+01:00,3197.2997212998102,3206.791704847419,3158.3326309464687,3159.331787109375,10579778,0.0,0.0
2023-09-18 00:00:00+01:00,3157.3333581349207,3168.3240755208335,3132.854033048115,3147.341796875,5383458,0.0,0.0
2023-09-19 00:00:00+01:00,3145.8431789101414,3172.8203953086086,3145.8431789101414,3159.331787109375,4127171,0.0,0.0
2023-09-20 00:00:00+01:00,3178.3159030891056,3211.7876361144076,3174.119495795246,3196.80029296875,2088340,0.0,0.0
2023-09-21 00:00:00+01:00,3169.8227373424807,3183.3113447354276,3136.8505859375,3136.8505859375,5747393,0.0,0.0
2023-09-22 00:00:00+01:00,3122.363159315171,3188.3074692399073,3059.416318023377,3150.839111328125,4668357,0.0,0.0
2023-09-25 00:00:00+01:00,3146.342842922165,3147.3271191007375,3088.891361985987,3099.882080078125,2779585,0.0,0.0
2023-09-26 00:00:00+01:00,3080.8982321068033,3118.3665906941246,3060.9151075268987,3065.910888671875,3173139,0.0,0.0
2023-09-27 00:00:00+01:00,3055.919151442482,3064.911556988659,3013.954592226989,3019.449951171875,3041011,0.0,0.0
2023-09-28 00:00:00+01:00,3036.4354354125094,3051.92235520484,2994.221089526962,3035.436279296875,3747289,0.0,0.0
2023-09-29 00:00:00+01:00,3059.915646959781,3083.39581600584,3031.439697265625,3031.439697265625,3128954,0.0,0.0
2023-10-02 00:00:00+01:00,3038.4335757316426,3057.9171188841474,2994.470709131119,3005.46142578125,2404907,0.0,0.0
2023-10-03 00:00:00+01:00,3001.964604790937,3037.4346475501575,2997.8879697048887,3012.955322265625,2250228,0.0,0.0
2023-10-04 00:00:00+01:00,3007.4600159868446,3062.9131823945754,2999.966344850665,3030.940185546875,5900395,0.0,0.0
2023-10-05 00:00:00+01:00,3053.921031234659,3068.908374754541,3038.4341095974473,3052.921875,3310834,0.0,0.0
2023-10-06 00:00:00+01:00,3045.428021184092,3074.903128344502,3010.9571331490356,3041.431396484375,4456742,0.0,0.0
