period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,0,0,0,0,,,USD
+1q,0,0,0,0,,,USD
0y,19146523190,18526000000,19769030000,20,19643000000.0,-0.0253,USD
+1y,19398873880,18609000000,20411400000,20,19146523190.0,0.013200001,USD
