period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,,,,,,USD
+1q,,,,,,USD
0y,1.67561,1.66859,1.59012,1.60339,1.6115,USD
+1y,1.75781,1.74693,1.70153,1.71631,1.7211,USD
