period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,,,,,,,GBP
+1q,,,,,,,GBP
0y,0.99873,0.942,1.0522,0.996,18.0,0.0027,GBP
+1y,1.01723,0.94028,1.1458,0.99873,18.0,0.0185,GBP
