period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,4.0424,3.77727,3.70829,3.63707,3.59048,USD
+1q,4.67158,4.38966,4.23439,4.11047,3.99139,USD
0y,20.09143,20.10436,18.2273,17.64472,17.04297,USD
+1y,31.74953,31.89898,27.14774,25.02706,24.58101,USD
