period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,4133337530,4099800000,4269893850,19,2818000000,0.4668,USD
+1q,4542107600,4335700000,5025665060,19,3017000000,0.5055,USD
0y,19191863460,18460000000,21749669150,21,12919000000,0.48560002,USD
+1y,26249647330,20254000000,34240450100,20,19191863460,0.3677,USD
