period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,31.28341,28.04,37.44,3.03,33,9.3246,USD
+1q,34.80837,25.64,47.81,4.78,33,6.2821,USD
0y,73.40044,67.39,80.16,8.29,38,7.8540998,USD
+1y,155.02524,106.89,221.27,73.40044,39,1.112,USD
