period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,31.28341,31.30102,31.31417,24.18441,22.66035,USD
+1q,34.80837,34.7977,34.83076,27.60536,25.15494,USD
0y,73.40044,73.40044,73.39892,73.29027,58.79307,USD
+1y,155.02524,155.02524,155.06258,149.32397,109.42425,USD
