period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,50784289620,46911000000,59805000000,32,11315000000,3.4882002,USD
+1q,56671573100,45500000000,75369000000,31,13643000000,3.1539001,USD
0y,129736157460,122598000000,138764000000,41,37378000000,2.4709,USD
+1y,241081059590,101608000000,290086900000,44,129736157460,0.8582,USD
