period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,4.11844,4.11852,4.03579,3.73151,3.7174,USD
+1q,2.13627,2.13601,2.21997,2.59278,2.59682,USD
0y,19.81226,19.8121,19.81209,18.38872,18.36484,USD
+1y,22.43537,22.43544,22.43545,20.93053,20.78409,USD
