period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,111489347180,108488000000,114000000000,18,113161000000,-0.0148,USD
+1q,111282101410,107266000000,115000000000,18,113215000000,-0.0171,USD
0y,446533495500,438519000000,453000000000,19,447567000000,-0.0023,USD
+1y,459361693970,442248000000,476309000000,23,446533495500,0.0287,USD
