period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,4.11844,3.62,4.56,2.92,23,0.4104,USD
+1q,2.13627,1.64,2.67,2.11,23,0.0125,USD
0y,19.81226,18.4,20.11,16.35,25,0.21180001,USD
+1y,22.43537,19.92,24.5,19.81226,27,0.13239999,USD
