Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-11 00:00:00-04:00,452.1059294160541,456.06938813843215,448.49924554659253,450.5243835449219,757800,0.0,0.0
2023-09-12 00:00:00-04:00,449.08748203067614,455.5486291368115,443.96679354546876,452.34698486328125,808600,0.0,0.0
2023-09-13 00:00:00-04:00,454.2370392009636,462.7040172279078,444.5164199885198,455.6546325683594,1605900,0.0,0.0
2023-09-14 00:00:00-04:00,459.31922354983755,461.392596570602,451.42120621061997,454.75787353515625,656900,0.0,0.0
2023-09-15 00:00:00-04:00,453.66816706463123,458.05594151299925,452.33736126053986,453.98638916015625,1183000,0.0,0.0
2023-09-18 00:00:00-04:00,457.72799712798627,457.72799712798627,452.07692919864587,457.1204528808594,649900,0.0,0.0
2023-09-19 00:00:00-04:00,456.9854895588614,460.76571934446525,454.0827910441577,456.9083251953125,782800,0.0,0.0
2023-09-20 00:00:00-04:00,458.808136511071,468.73129214130756,454.6807255571564,467.4872741699219,1035000,0.0,0.0
2023-09-21 00:00:00-04:00,469.2423900920883,481.0267313709607,468.7023572208457,476.4460754394531,2111600,0.0,0.0
2023-09-22 00:00:00-04:00,476.12785334480753,481.258165621612,472.95513815406923,476.4460754394531,946200,0.0,0.0
2023-09-25 00:00:00-04:00,477.67079559047176,483.8233445797495,475.4335291276674,483.2061767578125,679200,0.0,0.0
2023-09-26 00:00:00-04:00,482.47324453704965,482.9361424585729,474.9995429052444,475.4238586425781,756700,0.0,0.0
2023-09-27 00:00:00-04:00,475.33703718120273,476.88000071423403,470.91068096259147,475.9735107421875,677900,0.0,0.0
2023-09-28 00:00:00-04:00,478.77998774147767,484.7986818347898,473.4665432570519,478.4128723144531,814300,0.885,0.0
2023-09-29 00:00:00-04:00,477.8235578247664,478.6157511370701,469.95000539489996,470.0176086425781,1005000,0.0,0.0
2023-10-02 00:00:00-04:00,469.74710265711735,477.18593635513116,463.0908215041323,475.060546875,1001000,0.0,0.0
2023-10-03 00:00:00-04:00,472.4231706778333,474.7804101347174,468.7424052722983,471.87249755859375,625500,0.0,0.0
2023-10-04 00:00:00-04:00,471.99813878095557,473.0608336368077,466.1050395643653,469.3027648925781,1140200,0.0,0.0
2023-10-05 00:00:00-04:00,470.1336307878184,473.08016578659533,467.82468324860355,472.3942565917969,850000,0.0,0.0
2023-10-06 00:00:00-04:00,472.89655783634373,486.04490354616394,472.41351742997364,481.2724914550781,803800,0.0,0.0
2023-10-09 00:00:00-04:00,481.45603872949573,485.93866802949384,478.21002122186775,484.5281982421875,716200,0.0,0.0
2023-10-10 00:00:00-04:00,484.52822626817806,486.44104759493996,481.5140585560506,483.4268798828125,1014900,0.0,0.0
2023-10-11 00:00:00-04:00,477.2439381862891,480.605910145898,470.0949458184496,476.6836242675781,1587300,0.0,0.0
2023-10-12 00:00:00-04:00,476.66432083069526,485.93870357473486,472.52949566546073,482.8569030761719,1167500,0.0,0.0
2023-10-13 00:00:00-04:00,490.5275756990885,497.2031687561692,483.15637373406986,488.8079528808594,1533300,0.0,0.0
2023-10-16 00:00:00-04:00,497.5316344569354,507.965295774898,495.5318400348842,506.42926025390625,1482900,0.0,0.0
2023-10-17 00:00:00-04:00,507.9749419757493,512.5444852809657,501.97555899354063,502.2364196777344,714100,0.0,0.0
2023-10-18 00:00:00-04:00,508.7381514828846,511.88758448491774,502.94166638905045,503.9947204589844,1047200,0.0,0.0
2023-10-19 00:00:00-04:00,503.31850595004425,507.17315951568656,500.28499760797064,504.98980712890625,836000,0.0,0.0
2023-10-20 00:00:00-04:00,507.1731308801,509.25022839641883,501.87902642869574,503.47308349609375,1008700,0.0,0.0
2023-10-23 00:00:00-04:00,502.2363782800867,503.12515603070926,495.7636256748258,497.9952697753906,568900,0.0,0.0
2023-10-24 00:00:00-04:00,500.30427716725166,506.6417650845204,498.36244525505026,498.8358154296875,545600,0.0,0.0
2023-10-25 00:00:00-04:00,501.0965505449261,507.04758349263113,495.5995473588989,505.0381774902344,733800,0.0,0.0
2023-10-26 00:00:00-04:00,501.222061477055,503.46337607030677,494.96187659014436,495.9569091796875,688200,0.0,0.0
2023-10-27 00:00:00-04:00,493.2422413434563,498.59430807854545,491.10721089871896,492.8847961425781,758600,0.0,0.0
2023-10-30 00:00:00-04:00,494.03440887701385,502.8353908963809,491.5129226343791,500.4008483886719,1093800,0.0,0.0
2023-10-31 00:00:00-04:00,502.9416337908428,507.6657829876964,500.86459547911295,505.9268493652344,1282800,0.0,0.0
2023-11-01 00:00:00-04:00,483.3689318266518,498.4977628174954,472.15274631483436,472.7613525390625,2752700,0.0,0.0
2023-11-02 00:00:00-04:00,468.05650589619887,471.4474591453366,455.79693743810645,465.0713195800781,2604500,0.0,0.0
2023-11-03 00:00:00-04:00,462.23096902009746,467.39950672368025,458.9463004971245,460.8301696777344,1453000,0.0,0.0
2023-11-06 00:00:00-05:00,461.78664298122004,473.5245193278724,457.680799398228,470.7808532714844,1546400,0.0,0.0
