period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,currency
0q,-0.93876,-1.16,0.47,3.24,23,-1.2897,USD
+1q,-7.91965,-10.64995,-6.61,-3.96,23,-0.9999,USD
0y,9.15272,8.45,10.55,17.14,26,-0.466,USD
+1y,16.56803,10.39,20.75,9.15272,26,0.8102,USD
