period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth,currency
0q,40881874700,40430216390,41440000000,17,32649000000,0.2522,USD
+1q,41249513160,40631676330,41765000000,17,32515000000,0.26860002,USD
0y,162753668290,161576892720,165148000000,20,129664000000,0.2552,USD
+1y,168554607910,157187000000,177268000000,21,162753668290,0.0356,USD
