period,current,7daysAgo,30daysAgo,60daysAgo,90daysAgo,currency
0q,-0.93789,-1.01597,-0.14198,-0.1698,-0.15231,USD
+1q,-7.92052,-7.836,-8.16728,-8.22424,-8.06698,USD
0y,9.15272,9.15272,8.95638,8.84446,8.83946,USD
+1y,16.56803,16.56803,16.03056,15.73325,15.57518,USD
